Date;Open;High;Low;Close;Adj Close;Volume
2020-12-21;2.299999952316284;2.299999952316284;2.1600000858306885;2.1600000858306885;2.1600000858306885;730000
2020-12-22;2.450000047683716;2.450000047683716;2.2100000381469727;2.2100000381469727;2.2100000381469727;1040000
2020-12-23;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2020-12-28;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2020-12-29;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2020-12-30;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-04;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-05;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-06;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-07;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-08;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-11;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-12;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-13;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-14;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-15;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-18;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-19;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-20;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-21;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-22;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-26;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-27;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-28;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-01-29;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-01;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-02;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-03;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-04;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-05;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-08;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-09;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-10;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-11;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-12;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-17;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-18;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-19;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-22;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-23;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-24;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-25;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-02-26;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-03-01;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-03-02;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-03-03;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;2.2100000381469727;0
2021-03-04;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;10000
2021-03-05;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;10000
2021-03-08;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-09;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-10;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-11;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-12;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-15;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-16;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-17;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-18;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-19;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-22;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-23;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-24;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-25;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-26;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-29;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-30;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-03-31;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-04-01;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;2.7999000549316406;0
2021-04-05;2.7999000549316406;2.7999000549316406;2.796999931335449;2.796999931335449;2.796999931335449;40000
2021-04-06;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-07;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;10000
2021-04-08;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-09;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-12;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-13;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-14;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-15;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-16;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-19;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-20;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-22;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-23;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-26;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-27;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-28;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-29;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-04-30;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-05-03;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-05-04;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;2.796999931335449;0
2021-05-05;2.7699999809265137;2.7699999809265137;2.7699999809265137;2.7699999809265137;2.7699999809265137;30000
2021-05-06;2.6988000869750977;2.6988000869750977;2.299999952316284;2.4000000953674316;2.4000000953674316;650000
2021-05-07;2.699399948120117;2.797100067138672;2.5999999046325684;2.797100067138672;2.797100067138672;60000
2021-05-10;2.797100067138672;2.797100067138672;2.797100067138672;2.797100067138672;2.797100067138672;0
2021-05-11;2.797100067138672;2.797100067138672;2.797100067138672;2.797100067138672;2.797100067138672;0
2021-05-12;3.0;3.0;3.0;3.0;3.0;10000
2021-05-13;3.190000057220459;3.190000057220459;3.190000057220459;3.190000057220459;3.190000057220459;10000
2021-05-14;3.200000047683716;3.950000047683716;2.9000000953674316;3.950000047683716;3.950000047683716;70000
2021-05-17;3.950000047683716;3.950000047683716;3.950000047683716;3.950000047683716;3.950000047683716;10000
2021-05-18;3.950000047683716;3.950000047683716;3.950000047683716;3.950000047683716;3.950000047683716;0
2021-05-19;3.2999000549316406;3.2999000549316406;3.2999000549316406;3.2999000549316406;3.2999000549316406;20000
2021-05-20;3.2999000549316406;3.2999000549316406;3.2999000549316406;3.2999000549316406;3.2999000549316406;0
2021-05-21;2.400099992752075;2.400099992752075;2.4000000953674316;2.4000000953674316;2.4000000953674316;20000
2021-05-24;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-05-25;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-05-26;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-05-27;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-05-28;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-05-31;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-01;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-02;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-04;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-07;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-08;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-09;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-10;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-11;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-14;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-15;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;2.4000000953674316;0
2021-06-16;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;10000
2021-06-17;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-06-18;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-06-21;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-06-22;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-06-23;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-06-24;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-06-25;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-06-28;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-06-29;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-06-30;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-01;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-02;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-05;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-06;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-07;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-08;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-12;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-13;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-14;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-15;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-16;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-19;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-20;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-21;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-22;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-23;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-26;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-27;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-28;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-29;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-07-30;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-02;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-03;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-04;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-05;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-06;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-09;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-10;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-11;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-12;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-13;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-16;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;2.5999999046325684;0
2021-08-17;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;10000
2021-08-18;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-08-19;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-08-20;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-08-23;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-08-24;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-08-25;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-08-26;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-08-27;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-08-30;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-08-31;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-09-01;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-09-02;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;2.299999952316284;0
2021-09-03;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;10000
2021-09-06;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-08;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-09;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-10;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-13;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-14;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-15;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-16;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-17;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-20;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-21;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-22;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-23;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-24;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-27;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-28;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-29;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-09-30;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-01;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-04;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-05;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-06;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-07;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-08;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-11;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-13;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-14;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-15;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-18;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-19;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-20;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-21;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-22;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-25;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-26;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-27;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-28;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-10-29;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-01;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-03;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-04;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-05;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-08;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-09;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-10;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-11;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-12;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-16;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-17;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-18;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-19;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-22;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-23;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-24;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-25;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-26;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-29;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-11-30;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-01;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-02;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-03;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-06;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-07;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-08;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-09;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-10;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-13;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-14;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-15;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-16;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-17;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-20;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-21;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-22;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-23;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-27;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-28;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-29;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2021-12-30;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2022-01-03;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2022-01-04;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2022-01-05;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2022-01-06;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2022-01-07;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2022-01-10;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2022-01-11;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2022-01-12;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
2022-01-13;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;2.5299999713897705;0
